"Date Time, GMT-11:00",Timu1monthly
2012-02-01,282.4479999999994
2012-03-01,467.3600000000051
2012-04-01,150.62199999999976
2012-05-01,369.5700000000042
2012-06-01,253.4919999999983
2012-07-01,209.04199999999892
2012-08-01,161.7980000000001
2012-09-01,287.2739999999993
2012-10-01,175.7679999999994
2012-11-01,462.2800000000044
2012-12-01,392.6840000000021
2013-01-01,577.5960000000106
2013-02-01,144.7800000000001
2013-03-01,73.91399999999997
2013-05-01,180.84799999999962
2013-06-01,298.4500000000006
2013-07-01,248.41199999999796
2013-08-01,468.1220000000087
2013-09-01,166.36999999999992
2013-10-01,234.44199999999887
2013-11-01,172.21199999999945
2013-12-01,312.41999999999985
2014-01-01,479.04400000001
2014-02-01,351.53600000000074
2014-03-01,222.75799999999947
2014-04-01,466.598000000008
2014-05-01,220.97999999999885
2014-06-01,204.4699999999992
2014-07-01,729.2340000000072
2014-08-01,116.07800000000053
2014-09-01,109.47400000000017
2014-10-01,90.42400000000036
2014-11-01,331.978000000001
2014-12-01,450.08800000000514
2015-01-01,859.7900000000117
2015-01-01,859.7900000000117
2015-02-01,312.16599999999994
2015-03-01,298.19600000000065
2015-04-01,359.91800000000205
2015-05-01,529.3360000000079
2015-06-01,234.18799999999916
