,Timu2daily
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.0
2012-01-10,2.794
2012-01-11,2.032
2012-01-12,0.0
2012-01-13,0.0
2012-01-14,2.794
2012-01-15,0.0
2012-01-16,0.254
2012-01-17,1.27
2012-01-18,18.541999999999998
2012-01-19,53.33999999999997
2012-01-20,4.064
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,1.27
2012-01-25,60.198000000000015
2012-01-26,6.35
2012-01-27,11.938
2012-01-28,0.0
2012-01-29,20.32
2012-01-30,0.0
2012-01-31,14.477999999999996
2012-02-01,27.178
2012-02-02,21.844
2012-02-03,16.764000000000003
2012-02-04,16.763999999999996
2012-02-05,31.749999999999996
2012-02-06,37.846000000000004
2012-02-07,17.271999999999995
2012-02-08,0.254
2012-02-09,0.0
2012-02-10,0.0
2012-02-11,0.0
2012-02-12,0.254
2012-02-13,11.937999999999995
2012-02-14,2.794
2012-02-15,0.0
2012-02-16,0.0
2012-02-17,1.524
2012-02-18,2.032
2012-02-19,2.794
2012-02-20,4.572
2012-02-21,5.587999999999999
2012-02-22,3.302
2012-02-23,23.621999999999996
2012-02-24,0.254
2012-02-25,0.0
2012-02-26,3.048
2012-02-27,0.508
2012-02-28,1.27
2012-02-29,1.778
2012-03-01,4.571999999999999
2012-03-02,4.572
2012-03-03,1.016
2012-03-04,1.524
2012-03-05,13.969999999999999
2012-03-06,31.241999999999997
2012-03-07,0.508
2012-03-08,19.558
2012-03-09,6.603999999999997
2012-03-10,0.0
2012-03-11,0.0
2012-03-12,0.0
2012-03-13,0.0
2012-03-14,3.048
2012-03-15,17.018
2012-03-16,53.59399999999998
2012-03-17,0.0
