,Q-AV(L/sec),Q-AManningV(L/sec),stage(cm),Q-Mannings(L/sec)
2012-01-07 10:45:00,35.580625000883515,106.32305178664375,7.064220183486217,104.20791096442787
2012-01-19 10:00:00,126.65964,283.6609057167688,13.221202854230347,359.2234118922286
2012-01-19 14:30:00,150.84552,369.8405319751545,17.08460754332316,593.9578890600825
2012-01-19 16:45:00,399.28799999999995,549.065498093475,19.24566768603471,749.6290970584671
2012-01-20 12:30:00,66.14922,241.24153932034523,10.937818552497527,247.3101940460841
2012-01-25 13:15:00,317.77686000000006,540.6714032181127,16.095820591233366,528.5189215805456
2012-01-25 13:30:00,388.62,500.72541958578444,16.167176350662572,533.1187367164132
2012-01-25 18:30:00,153.39822,289.2889734506882,13.200815494393492,358.13515728011464
2012-03-21 14:00:00,144.19326,234.8274045809449,10.438328236493383,225.5303800690839
2012-03-21 14:30:00,134.15391,223.1626003184804,9.999999999999943,207.22289380662022
2012-03-21 14:45:00,102.45089999999999,178.0787071459785,10.122324159021355,212.25606511018364
2013-04-17 08:15:00,321.62496,337.3111416354281,28.593272171253894,1616.9424329071708
2013-04-17 08:15:00,354.96246,497.2576370082316,28.593272171253894,1616.9424329071708
2013-04-18 16:00:00,97.33026000000001,205.26754034390737,17.29867482161063,608.6059043145336
2013-04-23 18:15:00,1357.05342,1200.2885232841074,44.026503567788,3696.448537951343
2013-04-30 17:00:00,619.7803200000002,662.7417261114646,36.56472986748219,2594.283870313623
2013-04-30 17:00:00,619.7803200000002,662.7417261114646,36.56472986748219,2594.283870313623
