,AV,Area(m2),ManningV(m/s),Q-AManningV(L/sec),Q-AV(L/sec),R,V(m/s),WP,b1,b2,depth,dist,flow,left,right,stage(cm),trapezoidal-area,width
2013-04-18 16:00:00,,0.3970019999999999,0.783400146003033,311.01142476349605,97.33026000000001,0.09196593170218322,0.18352941176470589,4.316837688173775,,,,,,,,17.29867482161063,,
2013-04-18 16:00:00,0.0,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,0.002286,15.24
2013-04-18 16:00:00,7.726680000000001,,,,,,,0.31064938435477385,3.0,10.0,6.0,1.0,0.39,1.0,1.0,,0.019812,30.48
2013-04-18 16:00:00,9.144,,,,,,,0.315123848669059,10.0,14.0,14.0,2.0,0.25,1.0,1.0,,0.036576,30.48
2013-04-18 16:00:00,11.15568,,,,,,,0.3048,14.0,16.5,14.0,3.0,0.24,1.0,1.0,,0.046482,30.48
2013-04-18 16:00:00,3.2918399999999997,,,,,,,0.30887382537210883,16.5,19.5,19.0,4.0,0.06,1.0,1.0,,0.054863999999999996,30.48
2013-04-18 16:00:00,17.312640000000002,,,,,,,0.30496399787515904,19.5,16.0,20.0,5.0,0.32,1.0,1.0,,0.054102,30.48
2013-04-18 16:00:00,19.339560000000002,,,,,,,0.315123848669059,16.0,11.0,12.0,6.0,0.47,1.0,1.0,,0.041148000000000004,30.48
2013-04-18 16:00:00,8.321040000000002,,,,,,,0.3054554632020845,11.0,10.0,10.0,7.0,0.26,1.0,1.0,,0.032004000000000005,30.48
2013-04-18 16:00:00,8.549639999999998,,,,,,,0.3048,10.0,7.0,10.0,8.0,0.33,1.0,1.0,,0.025907999999999997,30.48
2013-04-18 16:00:00,3.9624000000000006,,,,,,,0.31064938435477385,7.0,6.0,4.0,9.0,0.2,1.0,1.0,,0.019812,30.48
2013-04-18 16:00:00,2.6746200000000004,,,,,,,0.3074134674993924,6.0,7.5,8.0,10.0,0.13,1.0,1.0,,0.020574000000000002,30.48
2013-04-18 16:00:00,0.36576,,,,,,,0.30496399787515904,7.5,4.5,7.0,11.0,0.02,1.0,1.0,,0.018288,30.48
2013-04-18 16:00:00,5.4864,,,,,,,0.30887382537210883,4.5,3.5,2.0,12.0,0.45,1.0,1.0,,0.012192,30.48
2013-04-18 16:00:00,0.0,,,,,,,0.30627281955798824,3.5,2.5,5.0,13.0,0.0,1.0,1.0,,0.009144,30.48
2013-04-18 16:00:00,0.0,,,,,,,0.30887382537210883,2.5,0.0,0.0,14.0,0.0,1.0,1.0,,0.00381,30.48
2013-04-18 16:00:00,0.0,,,,,,,0.0,0.0,0.0,0.0,15.0,0.0,1.0,1.0,,0.0,30.48
2013-04-18 16:00:00,0.0,,,,,,,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,,0.0,15.24
