,Slower,Stotal,Supper,Qsumtotal,Qsumupper,Qsumlower,Qmaxupper,Qmaxlower,Qmaxtotal,Pstorms,EI
2012-01-19 00:15:00,,,233.21331438512067,6561679.81249301,7350003.466055033,-788323.6535620224,451.3396065239532,270.24516800249216,270.24516800249216,0.0,
2012-01-19 12:00:00,,,126.94786921491321,6880396.937015894,6481770.677798174,398626.25921771955,239.43833231396542,177.35372451852544,177.35372451852544,0.0,
2012-01-25 03:45:00,,,650.1453726755706,12798336.29551278,14096713.074862363,-1298376.7793495823,758.7938776758443,775.4001671999993,775.4001671999993,79.50200000000002,772.8720349386659
2012-02-01 03:45:00,97.14935851111932,142.4391079906334,45.289749479514086,3196970.1030754377,2472879.094311924,724091.0087635135,121.51066666666847,130.939720249196,130.939720249196,10.413999999999998,83.82213045846342
2012-02-01 22:15:00,221.19622334807642,367.8415678781077,146.64534453003128,10496556.578417448,8530991.891009184,1965564.6874082647,177.31572273190514,168.92627418794933,168.92627418794933,24.383999999999997,84.56432074780079
2012-02-03 00:45:00,315.0752527869715,517.5603133767163,202.48506058974482,12147487.682255594,11146222.200733902,1001265.4815216921,281.81858715596366,214.49451229921254,214.49451229921254,24.892000000000003,122.29023270557914
2012-02-05 10:00:00,1069.4862405077101,2227.3329228117573,1157.8466823040471,46000393.988911055,48536781.73908257,-2536387.7501715124,723.7841019367963,886.8875758215873,886.8875758215873,102.10800000000005,163.1794787178869
2012-02-23 20:30:00,,,330.08852465598403,6863633.968976853,7778545.671192659,-914911.7022158056,453.70868909276066,377.24423204645854,377.24423204645854,17.78,163.89985327078662
2012-03-05 14:00:00,1216.3479365220676,1232.2786085325286,15.930672010460926,3274235.3629939286,1103273.0510091754,2170962.3119847532,63.583053211008234,140.92775812984925,140.92775812984925,22.098,235.49057433615744
2012-03-06 15:00:00,1423.6264825164458,1764.1817015774745,340.5552190610288,9071614.91149574,10242686.615855739,-1171071.704359999,488.718464831805,334.2736196194745,334.2736196194745,49.784,213.1563848063653
2012-03-08 16:30:00,374.300995465676,546.2345951322719,171.93359966659594,5386999.923739004,6526719.583119259,-1139719.6593802553,246.80881141692305,168.92627418795087,168.92627418795087,23.875999999999998,320.5751947270949
2012-03-09 05:45:00,242.35142390080904,590.217459133909,347.8660352330999,8004964.672843587,11033717.586055046,-3028752.9132114593,550.0513802242629,247.94834662323404,247.94834662323404,19.304,189.7530362923103
2012-03-16 08:00:00,363.19235045439484,489.00342828835977,125.81107783396496,5877414.334789764,5379747.252110099,497667.0826796647,182.3171192660554,140.49495248711392,140.49495248711392,34.290000000000006,150.03088616103585
2012-03-17 11:00:00,464.5675842249785,612.1763895930645,147.60880536808605,5680851.265561542,5426595.7996330215,254255.46592852008,222.59152293578168,213.9439202649354,213.9439202649354,30.987999999999992,330.9246277198229
2012-03-20 03:00:00,157.26926534655865,201.51714887131052,44.24788352475188,2263268.2016270966,1566962.0102752252,696306.1913518715,102.28596452599393,133.58485713097753,133.58485713097753,22.86,315.92931970514843
2012-03-21 18:45:00,167.0048942549417,488.0317703427668,321.0268760878251,9378879.656359103,10058287.527706405,-679407.8713473026,232.59431600407478,166.18411604848538,166.18411604848538,21.844000000000005,157.39789077180143
2012-03-22 21:45:00,981.3584563255223,1546.2559975560446,564.8975412305223,10477112.53044029,10405826.44880733,71286.08163295873,610.3313700305828,655.6259133593788,655.6259133593788,38.10000000000001,361.8837535925897
2012-03-23 22:45:00,35.47285473408007,283.03909137700066,247.5662366429206,5647002.184846854,4476388.330275219,1170613.854571635,132.56638532109943,129.8795356583536,129.8795356583536,19.05,79.99716292941233
2012-03-24 11:15:00,2304.23279458882,3575.0623276532774,1270.829533064457,30866499.583118666,33960466.68990825,-3093967.106789585,891.9889643221202,986.5766608968243,986.5766608968243,61.975999999999985,280.66457985768665
2012-04-07 08:00:00,1593.17798154907,1931.6511032434676,338.4731216943977,7230347.492792155,5435098.753883805,1795248.7389083495,330.25316411824645,656.953272204633,656.953272204633,40.894000000000005,315.13101333646364
2012-05-08 04:45:00,468.2038661187979,652.7805906290542,184.5767245102563,2799180.431639781,3461337.7607339458,-662157.3290941645,341.30888277268116,182.71937122892678,182.71937122892678,25.654000000000003,322.01605790668015
2012-05-10 17:00:00,223.08031627561138,252.2382590600318,29.157942784420428,1866932.011199996,1207634.6534556616,659297.3577443345,124.75718722392978,119.76458059097936,119.76458059097936,12.446,128.10261309810508
2012-05-22 17:00:00,1671.0133584161933,2504.5333355977446,833.5199771815512,11458345.856226167,13364098.43266054,-1905752.5764343739,920.6811865443411,1327.3427055948093,1327.3427055948093,50.8,211.1800556835193
2012-05-23 08:00:00,-5147.134555924994,1170.3681828472188,6317.502738772213,68594794.03201175,90606701.42018355,-22011907.388171807,4524.579192660547,5386.510711770863,5386.510711770863,88.39200000000008,312.9712474455848
2012-05-24 20:00:00,,,1040.8054465099513,23932810.13867405,40568508.64587159,-16635698.507197537,1826.3676126401665,1004.3363134641472,1004.3363134641472,41.14799999999999,68.76331195880726
2012-05-26 00:00:00,,,1728.6115372623226,31833370.636521254,34142706.433027565,-2309335.7965063117,2789.7275922528092,2262.228558346473,2262.228558346473,41.90999999999999,342.8905149065925
2012-06-02 13:15:00,,,57.31527185549875,3620524.222537846,2754466.522568808,866057.6999690379,140.4633272171279,131.44324949221226,131.44324949221226,20.828000000000007,106.42891870574276
2012-06-03 07:45:00,,,250.72748284427664,8546556.784999942,12991468.860550452,-4444912.07555051,373.9495759429143,172.48490261227218,172.48490261227218,26.924000000000007,51.5148631821309
2012-06-04 00:00:00,,,1500.7327606663873,28946849.566280134,37439137.73448024,-8492288.168200105,1994.1268583078404,1685.5614060668681,1685.5614060668681,49.02199999999998,117.63098515776086
2012-06-04 15:00:00,,,995.940140764903,27736953.548748985,31411392.88990826,-3674439.3411592767,2269.3725667685953,1779.4997724634602,1779.4997724634602,38.35399999999999,172.53743898371363
2012-06-05 07:00:00,,,238.55602491646792,7574104.466275843,11765673.05688077,-4191568.5906049274,522.6753149847115,240.66438511784204,240.66438511784204,13.969999999999999,83.09532754320799
2012-07-08 01:00:00,,,26.871477214363907,3753784.435256244,4327974.706055043,-574190.2707987991,391.58607951070417,191.23390874754466,191.23390874754466,35.81400000000001,261.1924749207731
2012-07-08 10:00:00,,,5.123425508450599,1239021.8458553124,837194.6928440395,401827.1530112729,89.25025810397509,128.66610102755877,128.66610102755877,12.954,129.1847230583478
2012-07-13 01:45:00,,,7.9067403384005885,1968350.3502349698,1489599.9455322353,478750.40470273443,98.57871943125083,123.22045415259528,123.22045415259528,4.318,37.5276328560913
2012-07-27 00:00:00,,,,3185982.705242757,2526312.8271559617,659669.8780867956,188.1082099898044,225.24552576040264,225.24552576040264,29.972,326.7534488560969
2012-07-27 18:00:00,,,,4003609.6529526412,3508009.6414678926,495600.0114847487,163.1012273190643,132.11383663040155,132.11383663040155,17.272000000000002,144.4450846412083
2012-08-09 03:30:00,,,,12240040.539971862,15058336.76917433,-2818296.229202468,2764.6139327216983,3081.560945748434,3081.560945748434,36.322,500.93053757116905
2013-02-11 21:00:00,,,,26484834.016780287,,,,4376.0648972118215,4376.0648972118215,29.470000000000002,
2013-03-05 18:00:00,,,,4434926.148854982,2054496.2021406796,2380429.9467143025,178.92143425076162,330.86417694022896,330.86417694022896,32.0,
2013-03-06 08:00:00,,,,8301268.083250907,5381466.569418948,2919801.513831959,322.7510693170218,378.02947020494423,378.02947020494423,21.330000000000002,
2013-03-07 14:15:00,,1442.689334661551,,26041476.895385608,17142632.128195725,8898844.767189883,390.8665803601732,1030.9661383109585,1030.9661383109585,34.260000000000005,
2013-03-11 02:15:00,,13215.363191152515,,34201298.86669282,14178378.210305814,20022920.656387005,2344.629833163448,9265.718233335674,9265.718233335674,42.660000000000004,
2013-03-21 13:15:00,,366.7591656953499,,1698879.6217151633,1093522.9955351704,605356.6261799929,155.01563625552137,182.45490027989226,182.45490027989226,16.255999999999997,253.8057318366572
2013-03-23 11:00:00,,593.2900548069764,,2878011.514791606,731742.431743119,2146269.083048487,83.70081977573986,1172.4907244373383,1172.4907244373383,16.001999999999995,221.07375356054402
2013-04-16 09:00:00,,,,21848386.351328522,7886359.234715603,13962027.116612919,834.9361914373117,2720.6941042264502,2720.6941042264502,59.410000000000004,
2013-04-17 00:00:00,,,,33342327.083443698,12494419.063009165,20847908.020434532,2096.851771253813,4310.341469552915,4310.341469552915,42.65,
2013-04-20 04:00:00,,,,6931412.763860463,1779188.1757798207,5152224.588080643,264.7769865443423,969.0660053554604,969.0660053554604,27.679999999999996,
2013-04-23 12:00:00,,,,138221435.64447325,57494298.480807334,80727137.16366592,6119.0554817533075,26256.023682773837,26256.023682773837,85.85000000000002,488.7914637606835
2013-04-28 10:15:00,,,,7614383.952351597,4855866.441137612,2758517.5112139853,744.647822426094,1137.852814461983,1137.852814461983,0.0,
2013-04-28 20:00:00,,,,15089271.719245218,8931327.360440368,6157944.35880485,976.8179141692183,1856.1731344188952,1856.1731344188952,0.0,
2013-04-30 14:00:00,,,,19587507.880272254,7865661.458825686,11721846.42144657,564.3343158002014,1244.192183580616,1244.192183580616,38.59000000000002,162.280578233754
2013-04-30 21:30:00,,,,119936755.20468076,56268150.071339436,63668605.13334132,5210.94555310907,14405.110118093831,14405.110118093831,73.91400000000002,343.77018298943887
2013-06-05 02:30:00,,,,257436745.23369533,112445530.50605501,144991214.72764033,6873.710905198775,30792.434532706946,30792.434532706946,176.53000000000003,556.7281569925359
2013-06-16 03:30:00,,,140.9617740394531,5203921.7741911225,5150047.445137615,53874.32905350719,359.34023343526815,284.12109182921574,284.12109182921574,30.226,232.21965017394987
2013-07-17 23:15:00,,,169.10923181169244,8825699.036175955,5125572.682739131,3700126.353436824,385.3781133390929,938.5844167620187,938.5844167620187,23.368000000000006,145.46056068007493
2013-07-19 18:45:00,,,759.6940586596204,3042570.0370586263,1335260.8293577952,1707309.2077008311,101.18955045871496,230.75862498861207,230.75862498861207,12.192,58.74002105231515
2013-07-20 03:45:00,,,186.57673457557325,14600983.896590218,6354216.453669728,8246767.44292049,472.4376029561695,1330.847668866252,1330.847668866252,27.686,151.70735535697537
2013-08-05 21:00:00,,,64.81269520326511,4808682.366090651,3311243.5954128434,1497438.7706778073,151.55853058103978,169.35987041526354,169.35987041526354,19.304,110.35204638665252
2013-08-10 00:00:00,,,803.014216680027,29940664.707729694,14138075.065137621,15802589.642592072,682.2330259938852,1659.2091839138227,1659.2091839138227,81.02600000000001,308.3491741288924
2013-08-15 19:15:00,,,1683.8934238445881,31739705.950536903,17754690.2316514,13985015.718885504,3375.5288144750343,5254.145767808233,5254.145767808233,61.721999999999994,364.4375076468746
2013-08-16 08:15:00,,,4731.298881910461,81248457.5099958,45239697.984403685,36008759.52559212,4218.343228338437,9705.882141484035,9705.882141484035,98.04400000000001,480.76604737035217
2013-08-16 22:30:00,,,111.95248020602585,2533017.1565371375,1812906.8844036688,720110.2721334687,143.13512589194798,158.1809692556958,158.1809692556958,7.112,28.26031038809493
2013-08-17 10:30:00,,,1574.4699518834434,49899620.09360798,31922828.68249939,17976791.411108587,1990.2593547400643,2975.198935284455,2975.198935284455,84.83600000000001,190.02604645969075
2013-08-19 07:00:00,,,296.97301004908854,4621898.221513997,3996776.429816507,625121.79169749,368.7244327217095,534.7724150676256,534.7724150676256,26.67,289.2310673356992
2013-08-19 13:30:00,,,55.38330512188035,2400122.0031878552,1761241.161009169,638880.8421786863,165.24656320081348,178.09636871014192,178.09636871014192,10.667999999999997,120.21398666053089
2013-09-01 04:00:00,,,580.8158265239723,6491612.301234395,5276190.37110091,1215421.9301334852,338.97928491335085,439.2904584005153,439.2904584005153,41.147999999999996,224.47748565398868
2013-10-10 14:30:00,,,,,12578111.313302765,,1549.2634933741178,,,69.85000000000001,373.27347264242695
2013-10-15 14:00:00,,,,,5483791.872935783,,2298.6550937818606,,,42.926,624.7560070937178
2013-10-31 06:00:00,,,,,4278507.515596341,,378.7272257900139,,,37.083999999999996,295.11353518194954
2013-11-13 12:45:00,,,,,5305331.96743119,,631.9558292558584,,,27.431999999999995,150.21461012171972
2013-11-24 16:15:00,,,,,4530596.787614686,,623.5324245667667,,,46.48199999999999,563.1512260859321
2013-12-09 05:45:00,,,,,5284115.875688081,,666.9656049949027,,,43.942,421.6235520518599
2013-12-11 01:30:00,,,,,10380243.808715599,,1070.0948695208895,,,40.132000000000005,302.5600515638354
2014-01-01 00:00:00,,,,,9107323.628899103,,388.7300188583107,,,76.45400000000002,199.14931885017378
2014-01-02 09:00:00,,,,,6848713.157798156,,279.2257579001056,,,48.26,150.20124817143213
2014-01-03 18:30:00,,,,,9929341.78440368,,2042.4957665647403,,,50.03799999999998,379.7640022341864
2014-01-04 21:45:00,,,,,2092601.2876146776,,314.2355336391423,,,21.336,262.0588579189352
2014-01-06 10:00:00,,,,,1180467.9830275192,,190.2535458715574,,,12.446,205.17863654120535
2014-01-07 18:15:00,,,,,2620556.833486237,,252.9026182466847,,,17.272,69.31811854858144
2014-01-08 18:00:00,,,,,28463482.810091726,,3845.6565208970565,,,39.62399999999996,22.940814628230275
2014-01-09 17:45:00,,,,,619337.6697247693,,92.19592354740011,,,1.524,3.373006778724739
2014-01-25 00:00:00,,,1031.3754041064906,,6107852.090227876,,2313.7232895005013,,,40.63999999999999,778.6107339500979
2014-01-26 09:15:00,,,104.21826364017512,,1876454.110550462,,364.24949898063005,,,31.495999999999995,338.98121426830966
2014-02-14 14:45:00,570.1695059133333,856.1271203954228,285.95761448208947,4823930.853428954,5488324.571100916,-664393.7176719615,1208.7222701325159,948.1994264381557,948.1994264381557,18.288,201.39435789365186
2014-02-20 10:30:00,1415.8885251911993,1513.0147875595649,97.12626236836557,4284985.03942999,1223781.3238532168,3061203.7155767726,295.80933588175384,828.0026196542747,828.0026196542747,29.209999999999994,225.40354044502897
2014-02-21 10:30:00,3937.254107504705,5777.825546499599,1840.571438994894,20208179.267334707,10702908.640825683,9505270.626509024,2275.5505270132476,3248.3284236941527,3248.3284236941527,51.562000000000005,264.0102042737488
2014-02-25 21:30:00,4267.428806428992,4936.798070325572,669.3692638965796,23318439.39966531,11518998.97018349,11799440.429481821,826.747062691131,1851.6851638973014,1851.6851638973014,60.19799999999998,304.99060448702147
2014-02-27 01:30:00,210.94044007130964,371.9624894368434,161.02204936553375,6453842.729412392,5929267.491743137,524575.2376692547,202.09895871559834,210.33758855500852,210.33758855500852,20.066,65.23961063687669
2014-02-27 16:00:00,325.34474151638983,450.5375707883904,125.19282927200057,5004555.060118475,4392932.144495405,611622.9156230697,272.1185101936795,322.1872944191722,322.1872944191722,14.732,166.45613318083673
